"age","years_exp","search_rank","pandascore_id","birth_country","college","espn_id","birth_date","injury_notes","search_first_name","player_id","hashtag","stats_id","news_updated","active","sport","fantasy_data_id","competitions","practice_description","yahoo_id","last_name","opta_id","birth_state","gsis_id","status","depth_chart_order","height","injury_start_date","fantasy_positions","search_full_name","high_school","sportradar_id","kalshi_id","practice_participation","team_abbr","team","oddsjam_id","rotoworld_id","birth_city","metadata","first_name","injury_status","swish_id","depth_chart_position","team_changed_at","position","search_last_name","number","full_name","weight","injury_body_part","rotowire_id","dupes"
NA,NA,NA,NA,"CUB","",35050,"","","guillermo","1054","#guillermoheredia-MLB-ATL-38",NA,NA,"True","mlb",NA,"[]",NA,NA,"Heredia",NA,"",NA,"A",NA,70,NA,"","guillermoheredia","","397246af-4aca-4c27-b530-01b8c77e87bb",NA,NA,NA,"ATL","",NA,"Matanzas","{'bat_hand': 'R', 'full_name': 'Guillermo Heredia', 'pro_debut': '2016-07-29', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'L', 'updated': '2022-08-12T21:28:05+00:00'}","Guillermo","",628338,NA,NA,"RF","heredia",38,"Guillermo Heredia",195,"",NA,1
NA,NA,NA,NA,"USA","",5149092,"2004-07-23","","aidan","3212","#aidansmith-MLB-TB",NA,NA,"False","mlb",NA,"[]",NA,NA,"Smith",NA,"TX",NA,"MIN",NA,75,NA,"","aidansmith","Lovejoy (TX)","141b6016-08bf-4905-8c8a-6e830cb2cdb7",NA,NA,NA,"TB","304810208802C843",NA,"Lucas","{'bat_hand': 'R', 'full_name': 'Aidan Smith', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2024-07-26T17:11:35+00:00'}","Aidan","",NA,NA,NA,"CF","smith",NA,"Aidan Smith",190,"",NA,1
NA,3,NA,NA,"USA","Arizona",41852,"1996-09-12","","cal","2559","#calstevenson-MLB-PHI-47",NA,1755441057290,"False","mlb",NA,"[]",NA,NA,"Stevenson",NA,"CA",NA,"MIN",NA,69,NA,"","calstevenson","Kennedy (CA)","de362f75-53e6-4874-9724-d833d1083156",NA,NA,NA,"PHI","22C50579B9F1",NA,"Fremont","{'bat_hand': 'L', 'channel_id': '1157161167848767488', 'full_name': 'Cal Stevenson', 'pro_debut': '2022-08-10', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2025-06-25T00:15:55+00:00'}","Cal","",670276,NA,NA,"CF","stevenson",47,"Cal Stevenson",175,"",15754,1
NA,NA,NA,NA,"USA","Vanderbilt",NA,"","","will","2514","#willtoffey-MLB-PHI-33",NA,NA,"False","mlb",NA,"[]",NA,NA,"Toffey",NA,"MA",NA,"MIN",NA,74,NA,"","willtoffey","Salisbury (CT)","56a0604c-e27c-4c8c-901b-ca5129a0565a",NA,NA,NA,"PHI","",NA,"Wareham","{'bat_hand': 'L', 'full_name': 'Will Toffey', 'pro_debut': '', 'rookie_year': '', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2022-07-14T12:07:23+00:00'}","Will","",657780,NA,NA,"3B","toffey",33,"Will Toffey",205,"",14946,1
NA,15,NA,NA,"USA","Alabama",29198,"","","tommy","2470","#tommyhunter-MLB-NYM-29",NA,1702500942881,"True","mlb",NA,"[]",NA,NA,"Hunter",NA,"IN",NA,"A",NA,75,NA,"","tommyhunter","Cathedral (IN)","1cd85a96-9957-49f4-8eee-500f8c3564e4",NA,NA,NA,"NYM","0D19FF59A484",NA,"Indianapolis","{'bat_hand': 'R', 'full_name': 'Tommy Hunter', 'pro_debut': '2008-08-01', 'rookie_year': '2008', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-04-19T17:37:16+00:00'}","Tommy","",488984,NA,NA,"RP","hunter",29,"Tommy Hunter",250,"",9886,1
NA,9,NA,NA,"DOM","",NA,"1993-05-11","","miguel","1836","#miguelsano-MLB-LAA-22",NA,1721058342222,"True","mlb",NA,"[]",NA,NA,"Sanó",NA,"",NA,"A",NA,76,NA,"","miguelsano","","aecc630f-57da-4b23-842b-fd65394e81be",NA,NA,NA,"LAA","A407F92227E0",NA,"San Pedro de Macoris","{'bat_hand': 'R', 'full_name': 'Miguel Sanó', 'pro_debut': '2015-07-02', 'rookie_year': '2015', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-06-25T21:21:15+00:00'}","Miguel","",593934,NA,NA,"3B","sano",22,"Miguel Sanó",272,"",11227,1
NA,6,NA,NA,"USA","",33191,"1994-12-09","Strain","hunter","2026","#hunterharvey-MLB-KC-56",NA,1757514334020,"True","mlb",NA,"[]",NA,NA,"Harvey",NA,"NC",NA,"A",NA,75,NA,"","hunterharvey","Bandys (NC)","0daadfb1-9f92-4ecf-87c4-bbfc0a232e6c",NA,NA,NA,"KC","FBFEEA82AD5C",NA,"Catawba","{'bat_hand': 'R', 'channel_id': '1157161433302073344', 'full_name': 'Hunter Harvey', 'pro_debut': '2019-08-17', 'rookie_year': '2019', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:16:37+00:00'}","Hunter","IL15",640451,NA,NA,"RP","harvey",56,"Hunter Harvey",233,"Groin",12957,1
NA,NA,NA,NA,"DOM","",33665,"","","jandel","2105","#jandelgustave-MLB-MIL-31",NA,NA,"True","mlb",NA,"[]",NA,NA,"Gustave",NA,"",NA,"A",NA,75,NA,"","jandelgustave","","e8983395-58d4-47fd-ad60-8f7f97c42239",NA,NA,NA,"MIL","",NA,"Pimentel","{'bat_hand': 'R', 'full_name': 'Jandel Gustave', 'pro_debut': '2016-08-11', 'rookie_year': '2016', 'status': 'A', 'throw_hand': 'R', 'updated': '2022-10-19T17:54:18+00:00'}","Jandel","",594311,NA,NA,"RP","gustave",31,"Jandel Gustave",220,"",NA,1
NA,5,NA,NA,"COL","",39810,"","","meibrys","2477","#meibrysviloria-MLB-CLE-46",NA,NA,"True","mlb",NA,"[]",NA,NA,"Viloria",NA,"",NA,"A",NA,71,NA,"","meibrysviloria","","8bda3557-0224-44f6-965f-b629a3f502c4",NA,NA,NA,"CLE","",NA,"Cartagena","{'bat_hand': 'L', 'full_name': 'Meibrys Viloria', 'pro_debut': '2018-09-02', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2023-03-25T21:26:26+00:00'}","Meibrys","",650619,NA,NA,"C","viloria",46,"Meibrys Viloria",225,"",NA,1
NA,0,NA,NA,"USA","Wake Forest",4623365,"1998-10-07","","bob","3521","#bobseymour-MLB-TB-41",NA,1758142522590,"True","mlb",NA,"[]",NA,NA,"Seymour",NA,"IL",NA,"A",NA,75,NA,"","bobseymour","Mount Carmel (IL)","6a6d87c2-5d46-4d12-9242-1a7f5588c38f",NA,NA,NA,"TB","",NA,"Harvey","{'bat_hand': 'L', 'channel_id': '1261876221042511872', 'full_name': 'Bob Seymour', 'pro_debut': '2025-08-15', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-18T20:28:37+00:00'}","Bob","",NA,NA,NA,"1B","seymour",41,"Bob Seymour",250,"",16853,1
NA,2,NA,NA,"USA","Texas",42987,"1997-09-29","","david","2742","#davidhamilton-MLB-BOS-17",NA,1758252620354,"True","mlb",NA,"[]",NA,NA,"Hamilton",NA,"TX",NA,"A",NA,71,NA,"","davidhamilton","San Marcos (TX)","431e938e-dffa-4af6-8988-110b926bb874",NA,NA,NA,"BOS","027954E96A99",NA,"San Marcos","{'bat_hand': 'L', 'channel_id': '1157161444375035904', 'full_name': 'David Hamilton', 'pro_debut': '2023-06-21', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-21T15:09:55+00:00'}","David","",666152,NA,NA,"2B","hamilton",17,"David Hamilton",188,"",17227,1
NA,NA,NA,NA,"USA","Grayson College (TX)",41410,"","","tyler","2141","#tylerivey-MLB-HOU-63",NA,1736778951730,"False","mlb",NA,"[]",NA,NA,"Ivey",NA,"TX",NA,"MIN",NA,76,NA,"","tylerivey","Rockwall-Heath (TX)","d84d17d3-96d8-4b3e-ba3c-af11e5085054",NA,NA,NA,"HOU","",NA,"Rowlett","{'bat_hand': 'R', 'full_name': 'Tyler Ivey', 'pro_debut': '2021-05-21', 'rookie_year': '2021', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2022-03-24T20:13:06+00:00'}","Tyler","",NA,NA,NA,"SP","ivey",63,"Tyler Ivey",195,"",15001,1
NA,7,NA,NA,"CUB","",36480,"1994-12-10","Tendinitis","nestor","1768","#nestorcortes-MLB-SD-65",NA,1758522632846,"True","mlb",NA,"[]",NA,NA,"Cortes",NA,"",NA,"D15",NA,70,NA,"","nestorcortes","Hialeah (FL)","ba4aa21b-081c-4ce4-a3db-b1ddf6a08c4c",NA,NA,NA,"SD","5B14ED003684",NA,"Surgidero de Batabano","{'bat_hand': 'R', 'channel_id': '1157161473567391744', 'full_name': 'Nestor Cortes', 'pro_debut': '2018-03-31', 'rookie_year': '2018', 'status': 'D15', 'throw_hand': 'L', 'updated': '2025-09-05T22:39:22+00:00'}","Nestor","IL15",641482,NA,NA,"SP","cortes",65,"Nestor Cortes",225,"Biceps",15285,1
NA,2,NA,NA,"USA","Georgia Tech",4420170,"1998-08-21","","amos","2902","#amoswillingham-MLB-ATL-50",NA,1745340335023,"False","mlb",NA,"[]",NA,NA,"Willingham",NA,"GA",NA,"MIN",NA,76,NA,"","amoswillingham","Chattooga (GA)","801ff4d9-73db-46e8-a8a7-4ac369b9dc59",NA,NA,NA,"ATL","2854307E8477",NA,"Rome","{'bat_hand': 'R', 'channel_id': '1157161600084377600', 'full_name': 'Amos Willingham', 'pro_debut': '2023-06-28', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-02-27T13:26:53+00:00'}","Amos","",686294,NA,NA,"RP","willingham",50,"Amos Willingham",223,"",18805,1
NA,5,NA,NA,"USA","Seattle",42409,"1996-11-20","","tarik","1577","#tarikskubal-MLB-DET-29",NA,1759262147704,"True","mlb",NA,"[]",NA,NA,"Skubal",NA,"CA",NA,"A",NA,75,NA,"","tarikskubal","Kingman Academy (AZ)","22187b04-0bc4-4351-a0f6-d41013673cb6",NA,NA,NA,"DET","211898C33EED",NA,"Hayward","{'bat_hand': 'R', 'channel_id': '1157161379849863168', 'full_name': 'Tarik Skubal', 'pro_debut': '2020-08-18', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-26T18:34:03+00:00'}","Tarik","",669373,NA,NA,"SP","skubal",29,"Tarik Skubal",240,"",16006,1
NA,7,NA,NA,"USA","",32827,"1993-03-27","","clay","1774","#clayholmes-MLB-NYM-35",NA,1759015825520,"True","mlb",NA,"[]",NA,NA,"Holmes",NA,"AL",NA,"A",NA,77,NA,"","clayholmes","Slocomb (AL)","9a62f791-fe7a-4e1f-9823-82a361f546bd",NA,NA,NA,"NYM","B3278C4455D3",NA,"Dothan","{'bat_hand': 'R', 'channel_id': '1157161476805394432', 'full_name': 'Clay Holmes', 'pro_debut': '2018-04-06', 'rookie_year': '2018', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-01-30T01:10:24+00:00'}","Clay","",605280,NA,NA,"SP","holmes",35,"Clay Holmes",245,"",14607,1
NA,NA,NA,NA,"DOM","",NA,"2000-12-07","","juan","3369","#juannunez-MLB-SD-62",NA,1742938550462,"True","mlb",NA,"[]",NA,NA,"Nuñez",NA,"",NA,"A",NA,71,NA,"","juannunez","","c725e658-b82a-4dcb-a7f0-aa8b59d256fb",NA,NA,NA,"SD","02F65D01A4033E0B",NA,"Azua","{'bat_hand': 'R', 'channel_id': '1199824311028830208', 'full_name': 'Juan Nuñez', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-02-22T02:36:47+00:00'}","Juan","IL60",NA,NA,NA,"RP","nunez",62,"Juan Nuñez",190,"Undisclosed",18218,1
NA,2,NA,NA,"USA","Coastal Carolina",5134022,"1997-09-01","","anthony","2989","#anthonyveneziano-MLB-STL-67",NA,1756047935627,"True","mlb",NA,"[]",NA,NA,"Veneziano",NA,"NJ",NA,"A",NA,77,NA,"","anthonyveneziano","Warren Hills Regional (NJ)","b6f4662e-0e7e-462b-9b6a-08b203ac5b94",NA,NA,NA,"STL","8ECA0C97F1BC",NA,"Hackettstown","{'bat_hand': 'L', 'channel_id': '1157161115944255488', 'full_name': 'Anthony Veneziano', 'pro_debut': '2023-09-26', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-10-01T02:30:53+00:00'}","Anthony","",685107,NA,NA,"SP","veneziano",67,"Anthony Veneziano",205,"",17612,1
NA,4,NA,NA,"USA","Gulf Coast Community College (FL)",41319,"1995-12-05","","nick","1160","#nicknelson-MLB-PHI-57",NA,1734711648589,"True","mlb",NA,"[]",NA,NA,"Nelson",NA,"FL",NA,"A",NA,73,NA,"","nicknelson","Rutherford (FL)","ba23266a-0bfd-4c78-9bf9-e10ef2e1b3fa",NA,NA,NA,"PHI","E3A164693E61",NA,"Panama City","{'bat_hand': 'R', 'full_name': 'Nick Nelson', 'pro_debut': '2020-08-01', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2024-09-04T15:45:37+00:00'}","Nick","",656793,NA,NA,"RP","nelson",57,"Nick Nelson",205,"",14387,1
NA,8,NA,NA,"VEN","",33750,"1995-01-21","","antonio","1287","#antoniosenzatela-MLB-COL-49",NA,1756268708464,"True","mlb",NA,"[]",NA,NA,"Senzatela",NA,"",NA,"A",NA,73,NA,"","antoniosenzatela","","1899170d-0079-4a00-8d65-0f9668e48d8a",NA,NA,NA,"COL","0F1FBF0F6DD8",NA,"Valencia","{'bat_hand': 'R', 'channel_id': '1157161237159641088', 'full_name': 'Antonio Senzatela', 'pro_debut': '2017-04-06', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-08-17T15:47:45+00:00'}","Antonio","",622608,NA,NA,"SP","senzatela",49,"Antonio Senzatela",236,"",13629,1
NA,3,NA,NA,"USA","Kansas State",4088296,"1998-02-02","Surgery","will","2644","#willbrennan-MLB-CLE-17",NA,1757105735413,"True","mlb",NA,"[]",NA,NA,"Brennan",NA,"CO",NA,"D60",NA,71,NA,"","willbrennan","Blue Valley (KS)","3dbbc8ce-7069-4da4-be4f-6fbee631d8a7",NA,NA,NA,"CLE","01C5BF4B8F6C",NA,"Colorado Springs","{'bat_hand': 'L', 'channel_id': '1157161406693408768', 'full_name': 'Will Brennan', 'pro_debut': '2022-09-21', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-06-27T20:44:07+00:00'}","Will","IL60",686823,NA,NA,"RF","brennan",17,"Will Brennan",200,"Elbow",17288,1
NA,1,NA,NA,"USA","Florida International",42875,"1998-01-22","","austin","3049","#austinshenton-MLB-SEA-30",NA,1748283640856,"False","mlb",NA,"[]",NA,NA,"Shenton",NA,"WA",NA,"MIN",NA,72,NA,"","austinshenton","Bellingham (WA)","4f35bc70-ceba-4c9e-b485-bb0c2a489fc0",NA,NA,NA,"SEA","A2F18F24A9D1",NA,"Spokane","{'bat_hand': 'L', 'channel_id': '1157161528638603264', 'full_name': 'Austin Shenton', 'pro_debut': '2024-03-31', 'rookie_year': '2024', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-03-22T19:17:09+00:00'}","Austin","",668853,NA,NA,"1B","shenton",30,"Austin Shenton",205,"",16188,1
NA,NA,NA,NA,"VEN","",5259072,"2001-05-09","","eiberson","3355","#eibersoncastellano-MLB-MIN-63",NA,1754357153662,"True","mlb",NA,"[]",NA,NA,"Castellano",NA,"",NA,"A",NA,75,NA,"","eibersoncastellano","","1bb7c6f4-a7e6-4791-898f-fde7ba7fb3e2",NA,NA,NA,"MIN","796EBEE3DC535478",NA,"Maracaibo","{'bat_hand': 'R', 'channel_id': '1199824310814920705', 'full_name': 'Eiberson Castellano', 'pro_debut': '', 'rookie_year': '', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-02-13T13:16:33+00:00'}","Eiberson","",NA,NA,NA,"SP","castellano",63,"Eiberson Castellano",160,"",19744,1
NA,NA,NA,NA,"USA","Oklahoma",41238,"","","steele","2441","#steelewalker-MLB-SF",NA,NA,"False","mlb",NA,"[]",NA,NA,"Walker",NA,"TX",NA,"MIN",NA,71,NA,"","steelewalker","Prosper (TX)","ae5222ee-b645-43e7-8805-24c49cbdcf1e",NA,NA,NA,"SF","",NA,"Prosper","{'bat_hand': 'L', 'full_name': 'Steele Walker', 'pro_debut': '2022-06-05', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-08-07T18:31:28+00:00'}","Steele","",667727,NA,NA,"LF","walker",NA,"Steele Walker",209,"",NA,1
NA,8,NA,NA,"USA","Mississippi State",37515,"1993-02-10","Strain","brandon","2118","#brandonwoodruff-MLB-MIL-53",NA,1758504331981,"True","mlb",NA,"[]",NA,NA,"Woodruff",NA,"MS",NA,"D15",NA,76,NA,"","brandonwoodruff","Wheeler (MS)","1ae40975-8948-422d-b0e7-81092ee9f55a",NA,NA,NA,"MIL","6E2FEDF7E072",NA,"Tupelo","{'bat_hand': 'L', 'channel_id': '1157161640425193472', 'full_name': 'Brandon Woodruff', 'pro_debut': '2017-08-04', 'rookie_year': '2017', 'status': 'D15', 'throw_hand': 'R', 'updated': '2025-10-01T02:14:53+00:00'}","Brandon","IL15",605540,NA,NA,"SP","woodruff",53,"Brandon Woodruff",242,"Lat",14525,1
NA,5,NA,NA,"VEN","",38827,"1998-07-20","","keibert","2000","#keibertruiz-MLB-WSH-20",NA,1757967034029,"True","mlb",NA,"[]",NA,NA,"Ruiz",NA,"",NA,"A",NA,72,NA,"","keibertruiz","","92defc55-fd9c-4069-b0a1-8cef9326753a",NA,NA,NA,"WSH","FD64BB8BA556",NA,"Valencia","{'bat_hand': 'B', 'channel_id': '1157161582044676096', 'full_name': 'Keibert Ruiz', 'pro_debut': '2020-08-16', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-10-01T04:14:23+00:00'}","Keibert","IL7",660688,NA,NA,"C","ruiz",20,"Keibert Ruiz",238,"Concussion",14558,1
NA,12,NA,NA,"USA","Cal State Dominguez Hills",32859,"1989-01-04","","kevin","2419","#kevinpillar-MLB-TEX-1",NA,1751481957027,"True","mlb",NA,"[]",NA,NA,"Pillar",NA,"CA",NA,"A",NA,72,NA,"","kevinpillar","Chaminade College Prep (CA)","7335e54f-cc2f-422c-808e-c19a267827a5",NA,NA,NA,"TEX","66117A8E4E44",NA,"West Hills","{'bat_hand': 'R', 'channel_id': '1157161324820594688', 'full_name': 'Kevin Pillar', 'pro_debut': '2013-08-14', 'rookie_year': '2013', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-05-18T15:31:51+00:00'}","Kevin","",607680,NA,NA,"CF","pillar",1,"Kevin Pillar",210,"",12678,1
NA,2,NA,NA,"USA","",41326,"1999-08-09","","xavier","2773","#xavieredwards-MLB-MIA-9",NA,1759105832138,"True","mlb",NA,"[]",NA,NA,"Edwards",NA,"FL",NA,"A",NA,68,NA,"","xavieredwards","North Broward Prep (FL)","2c927c42-8b7c-430a-94c5-23eccc40effa",NA,NA,NA,"MIA","1F1BB58002FC",NA,"Wellington","{'bat_hand': 'B', 'channel_id': '1157161097631924224', 'full_name': 'Xavier Edwards', 'pro_debut': '2023-05-02', 'rookie_year': '2023', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-05-31T16:36:35+00:00'}","Xavier","",669364,NA,NA,"SS","edwards",9,"Xavier Edwards",175,"",15430,1
NA,3,NA,NA,"USA","Michigan",4423337,"1997-07-29","Surgery","tommy","2546","#tommyhenry-MLB-AZ-47",NA,1751832321097,"True","mlb",NA,"[]",NA,NA,"Henry",NA,"MI",NA,"D60",NA,75,NA,"","tommyhenry","Portage Northern (MI)","7a0da377-a34c-42ba-ac84-5815ad1c0aae",NA,NA,NA,"AZ","F5FA1A39FF8C",NA,"Portage","{'bat_hand': 'L', 'channel_id': '1157161190649004032', 'full_name': 'Tommy Henry', 'pro_debut': '2022-08-03', 'rookie_year': '2022', 'status': 'D60', 'throw_hand': 'L', 'updated': '2025-07-06T19:02:17+00:00'}","Tommy","Out",674072,NA,NA,"RP","henry",47,"Tommy Henry",205,"Elbow",16095,1
NA,NA,NA,NA,"USA","UC San Diego",40730,"","","jack","2538","#jacklarsen-MLB-SEA-74",NA,1688849103896,"False","mlb",NA,"[]",NA,NA,"Larsen",NA,"CA",NA,"MIN",NA,73,NA,"","jacklarsen","Capistrano Valley (CA)","fd873f7e-0012-4888-8836-baad20fd7aa0",NA,NA,NA,"SEA","",NA,"Newport Beach","{'bat_hand': 'L', 'full_name': 'Jack Larsen', 'pro_debut': '2022-07-31', 'rookie_year': '2022', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-08-02T16:54:14+00:00'}","Jack","",677223,NA,NA,"CF","larsen",74,"Jack Larsen",195,"",17594,1
NA,2,NA,NA,"USA","",39710,"1998-07-11","","samad","2667","#samadtaylor-MLB-SEA-0",NA,1746556258913,"True","mlb",NA,"[]",NA,NA,"Taylor",NA,"CA",NA,"MIN",NA,68,NA,"","samadtaylor","Corona (CA)","bbf45136-f05b-4e3b-9f61-fcbdba246982",NA,NA,NA,"SEA","E11D0B839FCB",NA,"Corona","{'bat_hand': 'R', 'channel_id': '1157161246965923840', 'full_name': 'Samad Taylor', 'pro_debut': '2023-06-17', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-06-23T23:06:42+00:00'}","Samad","",669392,NA,NA,"2B","taylor",0,"Samad Taylor",160,"",15095,1
NA,0,NA,NA,"CUB","",NA,"2003-01-01","","yanquiel","3020","#yanquielfernandez-MLB-COL-35",NA,1757108735648,"True","mlb",NA,"[]",NA,NA,"Fernández",NA,"",NA,"A",NA,74,NA,"","yanquielfernandez","","0a6351ae-1f3a-452f-9e9f-bc6b0257ee50",NA,NA,NA,"COL","C8A17952410F",NA,"Havana","{'bat_hand': 'L', 'channel_id': '1157161225600139264', 'full_name': 'Yanquiel Fernández', 'pro_debut': '2025-07-02', 'rookie_year': '2025', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-07-29T19:59:23+00:00'}","Yanquiel","",692585,NA,NA,"RF","fernandez",35,"Yanquiel Fernández",198,"",16574,1
NA,2,NA,NA,"USA","Ole Miss",42667,"1997-08-25","","grae","2879","#graekessinger-MLB-AZ-16",NA,1745275859261,"False","mlb",NA,"[]",NA,NA,"Kessinger",NA,"MS",NA,"MIN",NA,73,NA,"","graekessinger","Oxford (MS)","ee1b26c8-b8ef-48ff-9cfd-454a01e5dcca",NA,NA,NA,"AZ","3EF552558A32",NA,"Oxford","{'bat_hand': 'R', 'channel_id': '1157161644355256320', 'full_name': 'Grae Kessinger', 'pro_debut': '2023-06-07', 'rookie_year': '2023', 'status': 'MIN', 'throw_hand': 'R', 'updated': '2025-03-14T18:45:38+00:00'}","Grae","",666197,NA,NA,"3B","kessinger",16,"Grae Kessinger",204,"",16161,1
NA,NA,NA,NA,"USA","St. Clair County Community College",33909,"","","paul","1603","#paulfry-MLB-ARI-43",NA,NA,"False","mlb",NA,"[]",NA,NA,"Fry",NA,"MI",NA,"MIN",NA,72,NA,"","paulfry","Waterford-Kettering (MI)","9ceccdf6-6eb7-464e-bc7d-3eaa49cbcbe2",NA,NA,NA,"ARI","",NA,"Pontiac","{'bat_hand': 'L', 'full_name': 'Paul Fry', 'pro_debut': '2018-06-29', 'rookie_year': '2018', 'status': 'MIN', 'throw_hand': 'L', 'updated': '2022-06-03T19:45:42+00:00'}","Paul","",643316,NA,NA,"RP","fry",43,"Paul Fry",205,"",NA,1
NA,2,NA,NA,"CUB","",NA,"1996-09-15","Inflammation","daysbel","2930","#daysbelhernandez-MLB-ATL-62",NA,1758506732172,"True","mlb",NA,"[]",NA,NA,"Hernández",NA,"",NA,"D60",NA,70,NA,"","daysbelhernandez","","5b716c3b-2a71-475d-bed9-09434d9b7744",NA,NA,NA,"ATL","3FBB107300BA",NA,"Sandino","{'bat_hand': 'R', 'channel_id': '1157161130158751744', 'full_name': 'Daysbel Hernández', 'pro_debut': '2023-07-23', 'rookie_year': '2023', 'status': 'D60', 'throw_hand': 'R', 'updated': '2025-09-21T18:26:47+00:00'}","Daysbel","Out",678226,NA,NA,"RP","hernandez",62,"Daysbel Hernández",220,"Shoulder",17208,1
NA,NA,NA,NA,"USA","Stanford",35034,"","","drew","2299","#drewjackson-MLB-ATH-37",NA,NA,"False","mlb",NA,"[]",NA,NA,"Jackson",NA,"CA",NA,"D10",NA,74,NA,"","drewjackson","Miramonte (CA)","c5b3d831-ea92-4e28-9671-a9faac4610e0",NA,NA,NA,"ATH","",NA,"Berkely","{'bat_hand': 'R', 'full_name': 'Drew Jackson', 'pro_debut': '2019-03-28', 'rookie_year': '2019', 'status': 'D10', 'throw_hand': 'R', 'updated': '2022-04-23T17:14:49+00:00'}","Drew","",NA,NA,NA,"SS","jackson",37,"Drew Jackson",200,"",NA,1
NA,5,NA,NA,"USA","Michigan",36364,"1994-01-21","","jake","1959","#jakecronenworth-MLB-SD-9",NA,1758669900737,"True","mlb",NA,"[]",NA,NA,"Cronenworth",NA,"MI",NA,"A",NA,72,NA,"","jakecronenworth","St. Clair (MI)","a3152805-3787-44a0-a8a9-b3ef604ac40d",NA,NA,NA,"SD","48CBFEE6B730",NA,"St. Clair","{'bat_hand': 'L', 'channel_id': '1157161565628170240', 'full_name': 'Jake Cronenworth', 'pro_debut': '2020-07-26', 'rookie_year': '2020', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-05-09T17:16:32+00:00'}","Jake","",630105,NA,NA,"2B","cronenworth",9,"Jake Cronenworth",187,"",14682,1
NA,8,NA,NA,"USA","Bradley",33956,"1990-12-03","","mike","2862","#miketauchman-MLB-CWS-18",NA,1758747906649,"True","mlb",NA,"[]",NA,NA,"Tauchman",NA,"IL",NA,"A",NA,73,NA,"","miketauchman","William Fremd (IL)","24a794bb-adde-4f27-abb9-a762a6a4da2f",NA,NA,NA,"CWS","EE4FD49CE835",NA,"Peoria","{'bat_hand': 'L', 'channel_id': '1157161347918626816', 'full_name': 'Mike Tauchman', 'pro_debut': '2017-06-27', 'rookie_year': '2017', 'status': 'A', 'throw_hand': 'L', 'updated': '2025-10-01T04:02:38+00:00'}","Mike","IL10",643565,NA,NA,"RF","tauchman",18,"Mike Tauchman",215,"Knee",13776,1
NA,3,NA,NA,"USA","",35063,"1995-11-22","","stone","2572","#stonegarrett-MLB-WSH-36",NA,1758725704868,"True","mlb",NA,"[]",NA,NA,"Garrett",NA,"TX",NA,"A",NA,73,NA,"","stonegarrett","George Ranch (TX)","561952a8-bcfb-4d61-9d5b-81f971eab0fa",NA,NA,NA,"WSH","E50C1A803FF9",NA,"Sugar Land","{'bat_hand': 'R', 'channel_id': '1157161588189331456', 'full_name': 'Stone Garrett', 'pro_debut': '2022-08-17', 'rookie_year': '2022', 'status': 'A', 'throw_hand': 'R', 'updated': '2025-02-22T02:09:57+00:00'}","Stone","",656448,NA,NA,"RF","garrett",36,"Stone Garrett",228,"",14049,1
